TutorialType	TutorialType::None	0	1
TutorialType	TutorialType::First	1	1
TutorialType	TutorialType::TopSolo	2	1
TutorialType	TutorialType::Bottom	3	1
TutorialType	TutorialType::MidSolo	4	1
TutorialType	TutorialType::MidBottom	5	1
TutorialType	TutorialType::JungleOnly	6	1
TutorialType	TutorialType::Line	7	1
TutorialType	TutorialType::Total	8	1
LineType	LineType::Mid	1	1
LineType	LineType::Bottom	2	1
LineType	LineType::Top	0	1
Position	Position::Top	0	4
Position	Position::Jungle	1	4
Position	Position::Mid	2	4
Position	Position::Bottom	3	4
Position	Position::Support	4	4
JungleType	JungleType::Rhino	0	1
JungleType	JungleType::Mushroom	1	1
JungleType	JungleType::Stump	2	1
JungleType	JungleType::Bee	3	1
JungleType	JungleType::Morgard	4	1
JungleType	JungleType::Serpen	5	1
StealTarget	StealTarget::Epic	0	1
StealTarget	StealTarget::Serpen	1	1
BigGoal	BigGoal::Line{line:LineType::Top}	0	24
BigGoal	BigGoal::Jungle{camp:JungleType::Rhino, team:0}	1	24
BigGoal	BigGoal::Epic	2	24
BigGoal	BigGoal::Serpen	3	24
BigGoal	BigGoal::Nexus{team:0}	4	24
BigGoal	BigGoal::Battle{focus:None}	5	24
BigGoal	BigGoal::Recall	6	24
StealAction	SA::None	0	2
StealAction	SA::Lurk(StealTarget::Epic)	1	2
StealAction	SA::Commit(StealTarget::Epic)	2	2
ObjectPhase	OP::Setup	1	1
ObjectPhase	OP::Assemble	2	1
ObjectPhase	OP::Hunt	3	1
ObjectPhase	OP::None	0	1
Chat	Chat::Start(0)	0	24
Chat	Chat::Mia(Position::Top,0)	1	24
Chat	Chat::JungleCheck(LineType::Top,0)	2	24
Chat	Chat::CounterJungle(JungleType::Rhino,0)	18	24
Chat	Chat::Split(LineType::Top,0)	20	24
Chat	Chat::PlayCall(0,0,0)	47	24
Chat	Chat::PlayPropose(0,0,0,0)	49	24
Chat	Chat::GankPlan(LineType::Top,0,0)	50	24
Chat	Chat::EarlyPlan(0,0)	51	24
Chat	Chat::CounterRequest(0,0,0)	55	24
Chat	Chat::ReadySignal(0,0)	56	24
SIZE	GameContext	64	-
SIZE	Chat	24	-
SIZE	BigGoal	24	-
SIZE	BigPlan	384	-
